-16.062569, 0.000008, -16.062561
-16.062591, 0.000030, -16.062561
-16.062629, 0.000068, -16.062561
-16.062680, 0.000119, -16.062561
-16.062745, 0.000184, -16.062561
-16.062823, 0.000262, -16.062561
-16.062912, 0.000350, -16.062561
-16.063011, 0.000449, -16.062561
-16.063119, 0.000557, -16.062561
-16.063234, 0.000672, -16.062562
-16.063354, 0.000792, -16.062562
-16.063478, 0.000916, -16.062562
-16.063604, 0.001042, -16.062562
-16.063731, 0.001169, -16.062562
-16.063855, 0.001293, -16.062562
-16.063976, 0.001414, -16.062562
-16.064092, 0.001530, -16.062562
-16.064201, 0.001639, -16.062562
-16.064302, 0.001739, -16.062562
-16.064393, 0.001830, -16.062563
-16.064472, 0.001910, -16.062563
-16.064539, 0.001977, -16.062563
-16.064593, 0.002030, -16.062563
-16.064633, 0.002070, -16.062563
-16.064658, 0.002095, -16.062563
-16.064668, 0.002105, -16.062563
-16.064663, 0.002100, -16.062563
-16.064643, 0.002080, -16.062563
-16.064608, 0.002045, -16.062563
-16.064558, 0.001996, -16.062563
-16.064496, 0.001933, -16.062563
-16.064420, 0.001857, -16.062563
-16.064333, 0.001770, -16.062563
-16.064235, 0.001673, -16.062562
-16.064129, 0.001567, -16.062562
-16.064015, 0.001453, -16.062562
-16.063895, 0.001333, -16.062562
-16.063772, 0.001210, -16.062562
-16.063646, 0.001084, -16.062562
-16.063519, 0.000958, -16.062562
-16.063394, 0.000833, -16.062562
-16.063273, 0.000711, -16.062562
-16.063156, 0.000594, -16.062561
-16.063045, 0.000484, -16.062561
-16.062943, 0.000382, -16.062561
-16.062851, 0.000290, -16.062561
-16.062770, 0.000208, -16.062561
-16.062700, 0.000139, -16.062561
-16.062644, 0.000083, -16.062561
-16.062602, 0.000041, -16.062561
-16.062575, 0.000014, -16.062561
-16.062562, 0.000001, -16.062561
-16.062565, 0.000004, -16.062561
-16.062582, 0.000021, -16.062561
-16.062615, 0.000054, -16.062561
-16.062662, 0.000101, -16.062561
-16.062723, 0.000162, -16.062561
-16.062796, 0.000235, -16.062561
-16.062881, 0.000320, -16.062561
-16.062977, 0.000416, -16.062561
-16.063082, 0.000521, -16.062561
-16.063195, 0.000633, -16.062562
